method,precision_at_10,validation_bce,forget_bce,distance_to_retrained_validation,distance_to_retrained_forget,execution_time_seconds,best_epoch
original_model,0.03803569823503494,0.3990170359611511,0.39746731519699097,11.82594108581543,16.911991119384766,0.0,
retraining_from_scratch,0.036295849829912186,0.407233327627182,0.4032714068889618,0.0,0.0,30.402715100000933,2.0
retain_fine_tuning,0.03803569823503494,0.3990170359611511,0.39746731519699097,11.82594108581543,16.911991119384766,13.168581500000073,0.0
